datetime,temperature_c,humidity,pressure_mb
2025-03-01 00:00,28.1,74,1011.0
2025-03-01 01:00,27.8,75,1010.0
2025-03-01 02:00,27.7,75,1010.0
2025-03-01 03:00,27.6,76,1009.0
2025-03-01 04:00,27.3,77,1009.0
2025-03-01 05:00,27.3,79,1010.0
2025-03-01 06:00,27.2,80,1010.0
2025-03-01 07:00,27.2,80,1011.0
2025-03-01 08:00,28.3,72,1012.0
2025-03-01 09:00,29.9,62,1013.0
2025-03-01 10:00,31.1,56,1013.0
2025-03-01 11:00,32.2,52,1012.0
2025-03-01 12:00,32.8,49,1011.0
2025-03-01 13:00,33.2,48,1010.0
2025-03-01 14:00,33.1,48,1009.0
2025-03-01 15:00,32.4,50,1008.0
2025-03-01 16:00,32.4,49,1007.0
2025-03-01 17:00,31.3,53,1007.0
2025-03-01 18:00,30.1,59,1008.0
2025-03-01 19:00,29.2,64,1008.0
2025-03-01 20:00,29.0,65,1009.0
2025-03-01 21:00,28.6,68,1009.0
2025-03-01 22:00,28.4,71,1010.0
2025-03-01 23:00,28.3,72,1010.0
2025-03-02 00:00,28.2,74,1010.0
2025-03-02 01:00,27.9,77,1009.0
2025-03-02 02:00,27.6,80,1008.0
2025-03-02 03:00,27.4,81,1008.0
2025-03-02 04:00,27.3,82,1008.0
2025-03-02 05:00,27.2,82,1008.0
2025-03-02 06:00,27.1,82,1009.0
2025-03-02 07:00,27.2,82,1010.0
2025-03-02 08:00,28.3,76,1011.0
2025-03-02 09:00,29.8,67,1011.0
2025-03-02 10:00,31.2,61,1011.0
2025-03-02 11:00,32.4,55,1011.0
2025-03-02 12:00,33.2,52,1010.0
2025-03-02 13:00,33.4,50,1008.0
2025-03-02 14:00,34.6,49,1007.0
2025-03-02 15:00,33.6,48,1006.0
2025-03-02 16:00,33.2,48,1006.0
2025-03-02 17:00,32.2,51,1006.0
2025-03-02 18:00,30.8,57,1006.0
2025-03-02 19:00,29.5,64,1006.0
2025-03-02 20:00,28.9,69,1007.0
2025-03-02 21:00,28.4,73,1008.0
2025-03-02 22:00,28.1,75,1008.0
2025-03-02 23:00,27.8,77,1008.0
2025-03-03 00:00,27.7,78,1008.0
2025-03-03 01:00,27.5,79,1007.0
2025-03-03 02:00,27.3,80,1007.0
2025-03-03 03:00,27.2,81,1007.0
2025-03-03 04:00,27.1,82,1007.0
2025-03-03 05:00,27.0,82,1007.0
2025-03-03 06:00,26.9,82,1007.0
2025-03-03 07:00,27.1,82,1008.0
2025-03-03 08:00,28.1,76,1009.0
2025-03-03 09:00,29.8,67,1010.0
2025-03-03 10:00,31.1,60,1010.0
2025-03-03 11:00,32.2,55,1010.0
2025-03-03 12:00,32.9,52,1009.0
2025-03-03 13:00,33.5,48,1008.0
2025-03-03 14:00,33.7,47,1007.0
2025-03-03 15:00,33.6,47,1006.0
2025-03-03 16:00,33.2,47,1005.0
2025-03-03 17:00,32.2,50,1005.0
2025-03-03 18:00,30.8,55,1005.0
2025-03-03 19:00,29.6,63,1006.0
2025-03-03 20:00,28.8,71,1007.0
2025-03-03 21:00,28.3,76,1008.0
2025-03-03 22:00,28.1,77,1008.0
2025-03-03 23:00,28.1,76,1009.0
2025-03-04 00:00,28.3,76,1008.0
2025-03-04 01:00,28.0,78,1007.0
2025-03-04 02:00,27.9,80,1007.0
2025-03-04 03:00,27.7,80,1006.0
2025-03-04 04:00,27.7,80,1006.0
2025-03-04 05:00,27.6,81,1007.0
2025-03-04 06:00,27.4,81,1007.0
2025-03-04 07:00,27.5,81,1008.0
2025-03-04 08:00,28.6,75,1009.0
2025-03-04 09:00,30.2,66,1010.0
2025-03-04 10:00,31.8,58,1010.0
2025-03-04 11:00,32.9,53,1010.0
2025-03-04 12:00,33.7,49,1009.0
2025-03-04 13:00,34.4,45,1007.0
2025-03-04 14:00,34.8,43,1006.0
2025-03-04 15:00,34.7,42,1005.0
2025-03-04 16:00,34.1,44,1005.0
2025-03-04 17:00,32.9,47,1005.0
2025-03-04 18:00,31.5,50,1005.0
2025-03-04 19:00,30.5,54,1005.0
2025-03-04 20:00,29.7,61,1006.0
2025-03-04 21:00,29.0,68,1007.0
2025-03-04 22:00,28.7,72,1008.0
2025-03-04 23:00,28.4,74,1008.0
2025-03-05 00:00,28.3,73,1008.0
2025-03-05 01:00,28.1,74,1007.0
2025-03-05 02:00,28.0,74,1006.0
2025-03-05 03:00,27.8,74,1006.0
2025-03-05 04:00,27.8,74,1006.0
2025-03-05 05:00,27.8,75,1006.0
2025-03-05 06:00,27.6,75,1007.0
2025-03-05 07:00,27.8,75,1007.0
2025-03-05 08:00,29.0,68,1008.0
2025-03-05 09:00,30.8,60,1009.0
2025-03-05 10:00,32.2,54,1009.0
2025-03-05 11:00,33.4,50,1009.0
2025-03-05 12:00,34.2,46,1008.0
2025-03-05 13:00,34.7,43,1007.0
2025-03-05 14:00,34.8,42,1006.0
2025-03-05 15:00,34.7,41,1005.0
2025-03-05 16:00,34.1,42,1004.0
2025-03-05 17:00,33.3,43,1004.0
2025-03-05 18:00,31.7,48,1005.0
2025-03-05 19:00,30.5,55,1005.0
2025-03-05 20:00,29.8,60,1006.0
2025-03-05 21:00,29.2,65,1007.0
2025-03-05 22:00,28.8,69,1008.0
2025-03-05 23:00,28.5,71,1008.0
2025-03-06 00:00,28.2,70,1007.0
2025-03-06 01:00,28.0,71,1007.0
2025-03-06 02:00,27.8,72,1006.0
