datetime,temperature_c,humidity,pressure_mb
2021-01-01 00:00,23.1,39,1015.0
2021-01-01 01:00,22.7,39,1015.0
2021-01-01 02:00,22.4,40,1015.0
2021-01-01 03:00,22.0,41,1015.0
2021-01-01 04:00,21.5,42,1015.0
2021-01-01 05:00,20.9,43,1015.0
2021-01-01 06:00,20.4,44,1015.0
2021-01-01 07:00,20.3,44,1016.0
2021-01-01 08:00,21.1,43,1016.0
2021-01-01 09:00,22.0,43,1017.0
2021-01-01 10:00,23.2,41,1016.0
2021-01-01 11:00,24.4,39,1015.0
2021-01-01 12:00,26.6,37,1015.0
2021-01-01 13:00,27.4,35,1014.0
2021-01-01 14:00,28.3,33,1013.0
2021-01-01 15:00,28.1,31,1012.0
2021-01-01 16:00,28.9,32,1012.0
2021-01-01 17:00,27.6,33,1012.0
2021-01-01 18:00,26.8,35,1012.0
2021-01-01 19:00,25.9,36,1013.0
2021-01-01 20:00,25.4,38,1014.0
2021-01-01 21:00,24.8,39,1015.0
2021-01-01 22:00,24.4,39,1015.0
2021-01-01 23:00,23.9,39,1015.0
2021-01-02 00:00,23.6,39,1015.0
2021-01-02 01:00,23.1,40,1015.0
2021-01-02 02:00,22.4,40,1014.0
2021-01-02 03:00,21.9,41,1014.0
2021-01-02 04:00,21.6,41,1014.0
2021-01-02 05:00,21.2,42,1014.0
2021-01-02 06:00,21.0,43,1014.0
2021-01-02 07:00,21.1,42,1015.0
2021-01-02 08:00,21.8,41,1015.0
2021-01-02 09:00,22.8,40,1016.0
2021-01-02 10:00,24.0,39,1015.0
2021-01-02 11:00,25.2,38,1014.0
2021-01-02 12:00,26.4,37,1013.0
2021-01-02 13:00,28.3,36,1012.0
2021-01-02 14:00,28.0,35,1012.0
2021-01-02 15:00,28.7,34,1011.0
2021-01-02 16:00,28.7,35,1011.0
2021-01-02 17:00,28.5,37,1011.0
2021-01-02 18:00,27.9,38,1011.0
2021-01-02 19:00,27.1,39,1012.0
2021-01-02 20:00,26.6,40,1013.0
2021-01-02 21:00,26.1,42,1013.0
2021-01-02 22:00,25.5,42,1013.0
2021-01-02 23:00,24.9,42,1014.0
2021-01-03 00:00,24.4,42,1014.0
2021-01-03 01:00,23.9,42,1013.0
2021-01-03 02:00,23.4,42,1013.0
2021-01-03 03:00,23.0,42,1012.0
2021-01-03 04:00,22.6,42,1012.0
2021-01-03 05:00,22.2,41,1012.0
2021-01-03 06:00,21.9,40,1013.0
2021-01-03 07:00,22.1,39,1013.0
2021-01-03 08:00,23.1,38,1014.0
2021-01-03 09:00,24.6,37,1014.0
2021-01-03 10:00,26.1,36,1014.0
2021-01-03 11:00,28.3,35,1013.0
2021-01-03 12:00,29.4,35,1012.0
2021-01-03 13:00,30.4,34,1011.0
2021-01-03 14:00,30.1,34,1011.0
2021-01-03 15:00,30.9,33,1010.0
2021-01-03 16:00,30.8,34,1010.0
2021-01-03 17:00,30.5,35,1010.0
2021-01-03 18:00,29.8,35,1011.0
2021-01-03 19:00,28.9,37,1011.0
2021-01-03 20:00,28.2,38,1012.0
2021-01-03 21:00,27.6,39,1013.0
2021-01-03 22:00,27.1,41,1013.0
2021-01-03 23:00,26.6,42,1013.0
2021-01-04 00:00,26.2,43,1013.0
2021-01-04 01:00,25.6,44,1013.0
2021-01-04 02:00,25.0,45,1012.0
2021-01-04 03:00,24.5,46,1012.0
2021-01-04 04:00,24.2,46,1012.0
2021-01-04 05:00,23.9,47,1012.0
2021-01-04 06:00,23.5,47,1013.0
2021-01-04 07:00,23.8,46,1013.0
2021-01-04 08:00,24.6,44,1014.0
2021-01-04 09:00,25.9,43,1015.0
2021-01-04 10:00,27.1,41,1014.0
2021-01-04 11:00,28.4,40,1013.0
2021-01-04 12:00,29.5,38,1012.0
2021-01-04 13:00,31.5,37,1011.0
2021-01-04 14:00,31.1,36,1011.0
2021-01-04 15:00,31.7,34,1010.0
2021-01-04 16:00,31.6,35,1010.0
2021-01-04 17:00,31.2,36,1010.0
2021-01-04 18:00,30.6,37,1011.0
2021-01-04 19:00,30.0,39,1011.0
2021-01-04 20:00,29.5,40,1012.0
2021-01-04 21:00,29.0,42,1012.0
2021-01-04 22:00,28.4,43,1013.0
2021-01-04 23:00,27.9,45,1013.0
2021-01-05 00:00,27.2,46,1013.0
2021-01-05 01:00,26.5,47,1013.0
2021-01-05 02:00,26.2,47,1012.0
2021-01-05 03:00,25.8,48,1012.0
2021-01-05 04:00,25.4,49,1012.0
2021-01-05 05:00,24.9,50,1012.0
2021-01-05 06:00,24.5,51,1012.0
2021-01-05 07:00,24.6,49,1013.0
